"itempicture",Name,Unit Price,"TotalQuantity",Quantity Florida,"QuantityNew Jersey","***PAINTED ITEMSFlyDeltaKaleido LowKaleido HighCobraLuckyBobinoThalis","NYC COBRA HAS MIDDLE(STRAIGHT PIECE)FLORIDA HAS CORNER AS AMIDDLE PIECE",item,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Total,Unnamed: 4,Unnamed: 5,Quantity,Unnamed: 6,***PAINTED ITEMS
,Dining chairs,,,,,,,,,,,,,,,,,
,yoyoma silver frame,$             22.00,505.0,263.0,242.0,,,,,,,,,,,,,
,yoyoma gold frame,$             22.00,510.0,310.0,200.0,,,,,,,,,,,,,
,blue,$             22.00,157.0,77.0,80.0,,,,,,,,,,,,,
,white,$             22.00,800.0,555.0,0.0,,,,,,,,,,,,,
,olive,$             22.00,520.0,230.0,231.0,,,,,,,,,,,,,
,orange,$             22.00,50.0,,50.0,,,,,,,,,,,,,
,black,$             22.00,900.0,582.0,320.0,,,,,,,,,,,,,
,white,$22.00,464.0,214.0,250.0,,,,,,,,,,,,,
,black,$22.00,450.0,200.0,250.0,,,,,,,,,,,,,
,oh gold frame,$             18.00,615.0,340.0,275.0,,,,,,,,,,,,,
,oh silver frame,$             18.00,596.0,306.0,290.0,,,,,,,,,,,,,
,white,$             18.00,860.0,460.0,400.0,,,,,,,,,,,,,
,black,$             18.00,466.0,306.0,160.0,,,,,,,,,,,,,
,gala black back (ref oh inventory),$               4.00,625.0,340.0,200.0,,,,,,,,,,,,,
,gala white back (ref oh inventory),$               4.00,598.0,340.0,200.0,,,,,,,,,,,,,
,back pads black,$             15.00,460.0,260.0,200.0,,,,,,,,,,,,,
,castle white frame (SALE ITEM),$             22.00,470.0,310.0,160.0,,,,,,,,,,,,,
,castle black frame  (SALE ITEM),$             22.00,501.0,326.0,175.0,,,,,,,,,,,,,
,castle gold frame  (SALE ITEM),$             22.00,430.0,220.0,210.0,,,,,,,,,,,,,
,clear back,$             22.00,490.0,320.0,170.0,,,,,,,,,,,,,
,black pads and backs,$             22.00,286.0,280.0,6.0,,,,,,,,,,,,,
,white pads and backs,$             22.00,520.0,220.0,300.0,,,,,,,,,,,,,
,gold pads and backs,$             22.00,520.0,240.0,280.0,,,,,,,,,,,,,
,sirena white,$             10.00,820.0,820.0,0.0,,,,,,,,,,,,,
,sirena black,$             10.00,773.0,540.0,0.0,,,,,,,,,,,,,
,sirena clear,$               8.00,780.0,780.0,0.0,,,,,,,,,,,,,
,kelly white $ 15 IN NYC,$             14.00,420.0,220.0,200.0,,,,,,,,,,,,,
,kelly black,$             12.00,330.0,111.0,219.0,,,,,,,,,,,,,
,kelly smokey,$             14.00,595.0,251.0,344.0,,,,,,,,,,,,,
,kelly green,$             14.00,171.0,171.0,,,,,,,,,,,,,,
,kelly magenta (mix of pinks),$             14.00,248.0,280.0,70.0,,,,,,,,,,,,,
,kelly blue,$             14.00,212.0,144.0,68.0,,,,,,,,,,,,,
,Kelly Ghost Chair - NEW Pink Purple,$             14.00,252.0,132.0,120.0,,,,,,,,,,,,,
,kelly purple,$             14.00,386.0,320.0,66.0,,,,,,,,,,,,,
,Kelly Coral (red)  (SALE ITEM),$             14.00,173.0,173.0,,,,,,,,,,,,,,
,kelly clear *MIAMI $10,$             12.00,1308.0,1202.0,288.0,,,,,,,,,,,,,
,kelly red,$             14.00,97.0,20.0,77.0,,,,,,,,,,,,,
,Matrix pink,$             15.00,540.0,460.0,80.0,,,,,,,,,,,,,
,Matrix purple,$             15.00,556.0,472.0,84.0,,,,,,,,,,,,,
,Matrix blue,$             15.00,552.0,468.0,84.0,,,,,,,,,,,,,
,Matrix amber,$             15.00,556.0,472.0,84.0,,,,,,,,,,,,,
,sally clear,$             15.00,112.0,27.0,85.0,,,,,,,,,,,,,
,sally black,$             15.00,185.0,120.0,150.0,,,,,,,,,,,,,
,sally white,$             15.00,200.0,120.0,80.0,,,,,,,,,,,,,
,bella black,$             12.00,187.0,55.0,132.0,,,,,,,,,,,,,
,bella white,$             12.00,700.0,552.0,150.0,,,,,,,,,,,,,
,bella grey,$             12.00,191.0,56.0,135.0,,,,,,,,,,,,,
,matrix orange,$             15.00,183.0,138.0,45.0,,,,,,,,,,,,,
,matrix green,$             15.00,129.0,67.0,62.0,,,,,,,,,,,,,
,matrix red,$             15.00,183.0,60.0,123.0,,,,,,,,,,,,,
,matrix yellow,$             15.00,190.0,120.0,70.0,,,,,,,,,,,,,
,matrix white,$             12.50,654.0,442.0,212.0,,,,,,,,,,,,,
,matrix black,$             12.50,442.0,251.0,196.0,,,,,,,,,,,,,
,titanium,$             12.00,174.0,135.0,39.0,,,,,,,,,,,,,
,x back,$             10.00,360.0,344.0,16.0,,,,,,,,,,,,,
,marguerite (FOR SALE),$             22.00,243.0,215.0,28.0,,,,,,,,,,,,,
,Accents chairs,,,,,,,,,,,,,,,,,
,Rigoletto Gold Frame,$           250.00,27.0,27.0,0.0,,,,,,,,,,,,,
,Rigoletto Silver Frame,$          250.00,6.0,6.0,0.0,,,,,,,,,,,,,
,rigoletto gold black cushions,$          250.00,15.0,10.0,5.0,,,,,,,,,,,,,
,rigoletto gold olive cushions,$          250.00,10.0,4.0,6.0,,,,,,,,,,,,,
,rigoletto gold aqua blue cushions,$           250.00,9.0,4.0,5.0,,,,,,,,,,,,,
,rigoletto gold cushions,$           250.00,13.0,7.0,6.0,,,,,,,,,,,,,
,rigoletto silver cushions,$           250.00,10.0,6.0,4.0,,,,,,,,,,,,,
,paloma black,$           320.00,12.0,6.0,6.0,,,,,,,,,,,,,
,paloma white,$          320.00,10.0,4.0,6.0,,,,,,,,,,,,,
,paloma blue,$           320.00,12.0,4.0,8.0,,,,,,,,,,,,,
,paloma green,$           320.00,10.0,6.0,4.0,,,,,,,,,,,,,
,velours red,$           220.00,0.0,0.0,0.0,,,,,,,,,,,,,
,velours light blue,$           220.00,8.0,4.0,4.0,,,,,,,,,,,,,
,velours brown,$          220.00,6.0,0.0,6.0,,,,,,,,,,,,,
,velours magenta,$          220.00,9.0,7.0,2.0,,,,,,,,,,,,,
,velours olive,$          220.00,0.0,0.0,0.0,,,,,,,,,,,,,
,velours taupe,$          220.00,18.0,6.0,12.0,,,,,,,,,,,,,
,velour black,$           220.00,1.0,1.0,0.0,,,,,,,,,,,,,
,velours dark blue,$          220.00,18.0,6.0,12.0,,,,,,,,,,,,,
,velours jade,$          220.00,18.0,7.0,11.0,,,,,,,,,,,,,
,velours aqua blue,$          220.00,12.0,4.0,8.0,,,,,,,,,,,,,
,barok black FOR SALE,$          220.00,4.0,2.0,2.0,,,,,,,,,,,,,
,barok taupe FOR SALE,$          220.00,4.0,0.0,4.0,,,,,,,,,,,,,
,barok blue FOR SALE,$           220.00,4.0,0.0,4.0,,,,,,,,,,,,,
,barok gold FOR SALE,$          220.00,4.0,2.0,2.0,,,,,,,,,,,,,
,english rose,$          220.00,24.0,10.0,14.0,,,,,,,,,,,,,
,xani (LEATHER),$          220.00,20.0,4.0,16.0,,,,,,,,,,,,,
,bo 2.0 white single,$          200.00,129.0,79.0,50.0,,,,,,,,,,,,,
,black cover,$          200.00,80.0,40.0,40.0,,,,,,,,,,,,,
,orange cover,$          200.00,21.0,15.0,6.0,,,,,,,,,,,,,
,olive cover,$           200.00,15.0,10.0,5.0,,,,,,,,,,,,,
,beig cover,$           200.00,26.0,21.0,5.0,,,,,,,,,,,,,
,yellow cover,$          200.00,10.0,10.0,0.0,,,,,,,,,,,,,
